n_tokens_title,n_tokens_content,num_hrefs,num_imgs,num_videos,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,abs_title_subjectivity,abs_title_sentiment_polarity,shares
10,620,7,12,1,7,0,0,1,0,0,0,725,6800,2941.66666667,0.452837902838,0.232051166426,0.0467741935484,0.00806451612903,0,0.5,900
14,103,3,0,0,7,0,0,1,0,0,0,0,0,0,0.448333333333,0.28,0.0776699029126,0.00970873786408,0.125,0.125,703
10,814,19,1,0,7,0,0,0,0,0,1,597,2100,1332.33333333,0.407863442704,0.0954702803107,0.0233415233415,0.0208845208845,0.5,0,850
13,0,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727273,0.168181818182,4600
10,3662,13,1,0,6,0,0,0,0,0,1,2700,22200,12450,0.451284004062,0.126701155069,0.0303113052977,0.0131075914801,0.5,0,1500
10,352,6,1,2,6,0,0,0,0,0,1,2000,2000,2000,0.442042502952,0.134221763085,0.0511363636364,0.0142045454545,0.2875,0.1,2100
11,698,19,1,0,5,0,0,1,0,0,0,1700,2000,1850,0.402335567658,0.119731008239,0.0501432664756,0.0157593123209,0.333333333333,0,1500
9,1511,60,14,1,9,0,0,0,0,0,0,1200,10900,6050,0.354354147536,0.108901788447,0.0297816015884,0.00992720052945,0.5,0.5,2000
14,182,3,1,1,8,0,0,1,0,0,0,874,874,874,0.52196969697,0.011553030303,0.0494505494505,0.043956043956,0.0833333333333,0.416666666667,790
12,420,5,1,0,9,0,0,0,0,1,0,809,10100,5454.5,0.473844310451,0.0868429189858,0.0357142857143,0.0142857142857,0.1,0.2,1300
12,413,2,7,1,9,0,0,0,0,1,0,2200,2700,2450,0.540972222222,0.180555555556,0.0387409200969,0.00726392251816,0,0.5,12200
10,1054,16,35,1,9,0,1,0,0,0,0,713,9800,2926.33333333,0.373458184328,0.125872859025,0.0351043643264,0.011385199241,0.5,0,532
7,447,29,17,0,10,0,1,0,0,0,0,719,6500,3806.33333333,0.386944444444,0.216079545455,0.0268456375839,0.00223713646532,0.5,0.5,659
14,921,14,1,0,5,0,0,0,0,0,1,0,0,0,0.44649802872,0.0245989812656,0.0336590662324,0.0325732899023,0.3,0.2,1200
10,364,4,9,0,5,0,1,0,0,0,0,3800,8800,6300,0.596653796654,0.264800514801,0.0659340659341,0.0164835164835,0.5,0,4900
13,218,4,0,1,10,0,0,0,0,0,0,14700,14700,14700,0.410577580314,0.0641319207109,0.045871559633,0.0321100917431,0.266666666667,0.183333333333,3000
9,117,2,0,2,8,0,0,1,0,0,0,0,0,0,0.694444444444,0.394444444444,0.025641025641,0,0.5,0,518
17,2900,14,21,4,10,0,0,0,0,1,0,578,3100,1544.5,0.476282497813,0.18092674065,0.0668965517241,0.0206896551724,0.155113636364,0.234090909091,1600
13,382,10,2,1,8,0,0,1,0,0,0,1300,110200,55750,0.492093008002,0.259254886528,0.0575916230366,0,0.5,0,43200
9,726,15,8,0,10,1,0,0,0,0,0,1300,1300,1300,0.528211346267,0.28430335097,0.0523415977961,0.0165289256198,0.3,0.4,2100
9,478,6,1,1,10,0,1,0,0,0,0,14900,16300,15600,0.607636054422,0.022193877551,0.0376569037657,0.0209205020921,0.3,0.275,3200
11,1427,1,5,0,7,0,1,0,0,0,0,0,0,0,0.492196598832,0.0520851033702,0.0406447091801,0.021023125438,0.5,0,1500
12,137,3,0,1,4,0,0,1,0,0,0,2100,5300,3700,0.344047619048,0.144642857143,0.021897810219,0.014598540146,0.5,0,3100
15,585,11,1,0,10,0,0,0,0,1,0,2200,2200,2200,0.53942105033,0.123639205912,0.0239316239316,0.00683760683761,0.5,0,1200
12,139,1,1,0,8,0,1,0,0,0,0,2600,2600,2600,0.6360254329,0.155911796537,0.0575539568345,0.0143884892086,0.5,0,847
11,232,8,0,1,7,0,0,0,0,0,1,1500,2200,1850,0.43253968254,0.0769841269841,0.0258620689655,0.0129310344828,0.166666666667,0.25,779
9,1092,24,21,0,10,0,0,0,0,0,1,469,469,469,0.479223484848,0.144412878788,0.0384615384615,0.014652014652,0.4,0.2,1100
10,314,24,20,1,10,0,0,0,0,0,0,905,104600,35901.6666667,0.528888888889,0.326444444444,0.0414012738854,0.00955414012739,0.5,0,4600
12,349,2,15,0,6,0,0,0,0,0,0,4500,4500,4500,0.529489337823,-0.100322671156,0.025787965616,0.0315186246418,0.5,0,1100
13,704,14,1,1,7,0,0,0,0,0,1,0,0,0,0.376986531987,0.0581144781145,0.0383522727273,0.0213068181818,0.227272727273,0.0681818181818,543
8,286,39,1,0,8,0,0,1,0,0,0,973,6500,3736.5,0.635828877005,0.380314171123,0.0524475524476,0.00699300699301,0.2,1,923
14,436,5,1,0,6,0,1,0,0,0,0,851,1500,1175.5,0.473725628377,0.100786939159,0.0412844036697,0.0206422018349,0.5,0.65,841
8,1290,11,1,0,6,0,0,0,1,0,0,4100,5300,4700,0.456987734488,0.279913780664,0.0511627906977,0.0077519379845,0.2,1,4700
6,47,1,0,2,4,0,0,0,1,0,0,910,910,910,0.35,0.075,0.0212765957447,0.0212765957447,0.0560606060606,0.0151515151515,1100
10,0,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0357142857143,0.285714285714,1700
9,538,11,1,0,10,0,0,0,0,0,1,0,0,0,0.510898931001,0.0841909620991,0.0390334572491,0.0167286245353,0.5,0,1100
9,507,9,1,0,8,0,0,0,0,0,1,0,0,0,0.506309624018,0.0898012866763,0.0355029585799,0.0157790927022,0.1,0.8,842
12,761,13,9,3,5,0,0,0,0,0,1,2300,3100,2833.33333333,0.307341269841,0.019246031746,0.0210249671485,0.0157687253614,0.5,0,918
15,1002,11,4,0,6,0,0,0,0,1,0,8400,9900,8900,0.537812453986,0.0712380731513,0.0399201596806,0.0269461077844,0,0,1600
14,458,3,1,2,9,0,0,0,0,1,0,3500,3500,3500,0.528434723172,0.222496582365,0.0305676855895,0.00218340611354,0.0214285714286,0.307142857143,2500
6,305,8,2,0,7,0,0,0,0,1,0,1100,1500,1300,0.589902269448,0.0876524990161,0.0622950819672,0.0360655737705,0.35,0.2,2000
13,1270,17,1,0,3,0,0,1,0,0,0,1800,44700,10683.3333333,0.384523809524,0.0942402265678,0.0370078740157,0.0141732283465,0.2,0.1,3100
11,508,35,17,1,9,1,0,0,0,0,0,1300,1300,1300,0.666786283892,0.22091307815,0.0531496062992,0.0137795275591,0.3,0.7,1100
10,179,5,0,1,7,0,1,0,0,0,0,709,954,831.5,0.484259259259,0.0898148148148,0.0502793296089,0.0279329608939,0.5,0,2600
11,383,13,3,0,6,0,0,1,0,0,0,1300,6700,4000,0.366764870932,0.162205387205,0.0339425587467,0.00261096605744,0.5,0,1300
13,268,7,1,1,7,0,1,0,0,0,0,3200,8900,6050,0.394642857143,0.220476190476,0.0410447761194,0.0149253731343,0.275,0.025,1300
13,332,7,1,0,5,0,1,0,0,0,0,3200,9100,5400,0.530236649316,0.0784581646424,0.0602409638554,0.0240963855422,0.5,0,828
11,844,39,8,0,10,0,0,0,0,0,1,3000,3000,3000,0.475295159386,0.0132162534435,0.0284360189573,0.0284360189573,0.5,0,1600
12,298,3,2,0,6,0,0,1,0,0,0,2300,2300,2300,0.374453463203,0.153068181818,0.0369127516779,0.010067114094,0.5,0,2000
8,458,9,1,0,5,0,0,0,0,0,1,1100,1100,1100,0.46185927599,-0.0216889390802,0.0196506550218,0.0131004366812,0.355555555556,0.0777777777778,871
10,257,8,2,1,6,0,0,1,0,0,0,877,13800,3750.8,0.462770562771,0.0616883116883,0.0350194552529,0.0194552529183,0.5,0,1500
9,288,3,1,1,7,0,1,0,0,0,0,1600,2600,2100,0.511111111111,0.157272727273,0.0381944444444,0.0138888888889,0.5,0.5,2200
14,133,3,1,1,7,0,1,0,0,0,0,9200,9200,9200,0.586805555556,-0.115972222222,0.0300751879699,0.0526315789474,0.1,0.4,1400
9,801,13,1,8,8,0,1,0,0,0,0,17700,20700,19200,0.460517528919,0.145688338301,0.043695380774,0.0187265917603,0.5,0,7900
10,185,6,1,0,8,0,0,1,0,0,0,1100,49900,25500,0.394391281233,0.0954811270601,0.0324324324324,0.00540540540541,0.25,0.25,1900
13,311,4,0,1,9,0,0,0,0,0,1,971,971,971,0.415814393939,0.117660984848,0.0418006430868,0.016077170418,0.5,0,8900
11,343,12,1,0,6,0,0,0,0,1,0,890,890,890,0.39986938349,0.0700757575758,0.0320699708455,0.0204081632653,0.5,0,2000
10,470,1,0,1,10,0,0,1,0,0,0,0,0,0,0.461526957891,0.144742719402,0.0702127659574,0.0212765957447,0.2,0.4,723
9,596,7,1,17,6,0,0,0,1,0,0,3400,4600,4000,0.560388726919,0.118209426628,0.0503355704698,0.0184563758389,0.5,0,4400
10,652,12,2,0,6,0,0,0,0,0,1,0,0,0,0.530215448132,0.0311533990701,0.0429447852761,0.0337423312883,0.5,0,1100
10,428,21,1,1,6,0,1,0,0,0,0,1800,1800,1800,0.505288600289,0.279332611833,0.0443925233645,0.00934579439252,0.25,0.0666666666667,760
9,472,7,2,2,9,0,0,0,0,1,0,8000,8000,8000,0.502621452621,0.054304954305,0.0360169491525,0.0275423728814,0.5,0,924
12,425,4,0,11,8,0,0,0,0,0,0,17800,17800,17800,0.582365591398,0.175900537634,0.04,0.0188235294118,0.1,0.2,4600
9,720,15,5,3,6,0,1,0,0,0,0,901,18800,7100.33333333,0.539439228777,0.00412111650063,0.0472222222222,0.0486111111111,0.5,0,1700
11,557,6,1,0,10,0,0,0,0,0,1,464,1400,1021.33333333,0.419011544012,0.105289631004,0.0359066427289,0.0143626570916,0.5,0,967
9,410,14,10,0,10,0,0,0,0,0,0,6800,6800,6800,0.646548821549,0.221982323232,0.0512195121951,0.0170731707317,0.5,0,1700
13,151,2,0,1,5,0,1,0,0,0,0,1500,1500,1500,0.422081105169,0.0249331550802,0.0529801324503,0.0397350993377,0.5,0,15900
9,578,4,1,0,9,0,0,1,0,0,0,0,0,0,0.415448532949,0.124606782107,0.0415224913495,0.0103806228374,0.5,0,3600
10,1175,15,14,1,6,0,1,0,0,0,0,872,1100,1024,0.514206570074,0.112859461967,0.0468085106383,0.0212765957447,0.1,0.4,1100
11,375,18,1,0,4,0,1,0,0,0,0,1800,1800,1800,0.5015625,0.221129261364,0.024,0.00533333333333,0.5,0,754
8,585,7,1,1,8,0,0,0,0,1,0,0,0,0,0.465050158175,0.0561750749251,0.0393162393162,0.0222222222222,0.5,0,842
11,622,4,1,2,6,0,0,0,0,0,1,718,1700,1192.75,0.28568534179,0.0448819591261,0.0273311897106,0.0112540192926,0.0454545454545,0.136363636364,827
10,361,12,1,0,8,0,0,0,0,0,1,0,0,0,0.349206349206,-0.00595238095238,0.0221606648199,0.0138504155125,0.5,0.1,2000
8,154,6,1,0,7,0,0,1,0,0,0,913,2100,1403.25,0.469212962963,0.08125,0.025974025974,0.012987012987,0.5,0,798
11,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333,0.166666666667,4700
10,873,12,13,0,6,0,0,1,0,0,0,737,5400,1987,0.456849884123,0.14917218724,0.0435280641466,0.0148911798396,0.5,0,592
9,544,14,1,0,10,1,0,0,0,0,0,0,0,0,0.558472222222,0.0942708333333,0.0404411764706,0.0220588235294,0.5,0,4700
10,358,3,1,0,6,0,0,0,0,0,1,1500,1500,1500,0.288882329791,0.00330250557523,0.0279329608939,0.0251396648045,0.5,0,1100
9,142,3,0,1,6,0,0,0,0,0,0,2500,2500,2500,0.489583333333,0.00208333333333,0.0422535211268,0.0281690140845,0.04375,0.25625,1200
8,534,32,21,0,6,1,0,0,0,0,0,837,2600,1718.5,0.432943722944,0.17174025974,0.0224719101124,0.00749063670412,0.5,0,6000
9,1139,19,11,0,10,0,0,1,0,0,0,2200,2200,2200,0.501624023226,0.132601702505,0.0491659350307,0.0245829675154,0.5,0,668
10,364,5,1,0,6,0,0,0,0,0,1,1600,1600,1600,0.445050505051,0.0381818181818,0.0192307692308,0.010989010989,0.0454545454545,0.136363636364,850
10,72,5,0,0,5,0,0,0,0,0,0,0,0,0,0.533333333333,0.333333333333,0.0277777777778,0,0.5,0,645
7,328,27,18,9,6,0,0,0,1,0,0,0,0,0,0.445028011204,0.192647058824,0.0274390243902,0.0030487804878,0.5,0,1500
16,556,12,1,0,7,0,0,0,0,0,0,23100,23100,23100,0.537343802769,0.281214423874,0.0647482014388,0.00719424460432,0.433333333333,0,9800
13,252,2,1,0,5,0,0,0,0,1,0,0,0,0,0.50851972102,0.0895202020202,0.031746031746,0.00396825396825,0.5,0,1300
10,214,6,0,1,4,0,0,0,0,1,0,1500,5400,3300,0.280766852195,0.119094001237,0.0327102803738,0.0140186915888,0.0454545454545,0.136363636364,2900
7,147,1,1,0,5,0,0,1,0,0,0,1200,1200,1200,0.277777777778,-0.0333333333333,0.0136054421769,0.0204081632653,0.5,0,22
10,316,7,1,1,8,0,0,0,0,0,1,1800,5100,3450,0.333220516857,-0.0298425816608,0.0253164556962,0.0189873417722,0.5,0,664
6,639,2,1,0,7,0,0,0,0,1,0,0,0,0,0.446362433862,0.0988095238095,0.0297339593114,0.0109546165884,0.5,0,3200
13,1707,3,11,2,10,0,0,0,0,1,0,1200,1200,1200,0.362455666823,0.100324240686,0.0380785002929,0.0175746924429,0.45,0.1,2800
10,227,4,1,0,5,0,1,0,0,0,0,0,0,0,0.465848484848,-0.0515454545455,0.0440528634361,0.057268722467,0.0727272727273,0.131818181818,964
10,301,9,1,0,7,0,0,0,0,1,0,972,104100,27618,0.420150162338,0.116484036797,0.0299003322259,0.00996677740864,0.0666666666667,0.166666666667,791
10,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1800
6,590,14,11,0,4,0,0,0,1,0,0,761,17100,5240.25,0.4905946255,0.254631217839,0.0661016949153,0.00677966101695,0.5,0.5,5000
9,535,2,9,0,9,0,0,0,0,0,1,1200,1200,1200,0.428867243867,0.0397474747475,0.018691588785,0.0168224299065,0.5,0,603
11,401,8,0,1,9,0,0,1,0,0,0,1200,1300,1250,0.619614512472,0.204433106576,0.0548628428928,0.0224438902743,0.5,0,1400
13,189,8,1,1,10,0,0,0,0,0,1,928,2400,1576,0.386898148148,0.0290740740741,0.015873015873,0.021164021164,0.25,0.45,864
6,828,12,11,0,10,0,0,0,0,1,0,638,3200,1846.09090909,0.499868686869,0.175719336219,0.0519323671498,0.0132850241546,0,0.5,1600
10,110,4,1,0,5,0,0,1,0,0,0,2200,46200,24200,0.422683982684,0.233217893218,0.118181818182,0.0181818181818,0.0714285714286,0.357142857143,1600
11,312,5,0,0,8,0,0,0,0,1,0,9000,9000,9000,0.574246933622,0.177011183261,0.0448717948718,0.00641025641026,0.5,0,3100
10,388,10,0,1,7,0,0,0,0,0,1,5300,5300,5300,0.390992063492,0.15996031746,0.0309278350515,0.0154639175258,0.125,0.4,1300
12,166,2,1,0,6,0,0,0,0,1,0,0,0,0,0.360362811791,-0.052380952381,0.0361445783133,0.0481927710843,0.15,0.35,10900
13,1239,12,10,1,5,0,0,0,1,0,0,3400,3400,3400,0.478201859869,0.163093434343,0.046811945117,0.00726392251816,0.227272727273,0.0681818181818,2500
6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,3400
11,558,13,0,1,5,0,1,0,0,0,0,722,2500,1430.5,0.588759689922,0.0294573643411,0.0394265232975,0.0215053763441,0.5,0,613
12,550,3,1,0,4,0,1,0,0,0,0,819,6200,3509.5,0.442455726092,0.111083038174,0.0527272727273,0.0181818181818,0.1,0.1,637
13,682,45,21,1,7,0,0,0,0,0,0,1600,6200,3633.33333333,0.532276250881,0.100264270613,0.0351906158358,0.0175953079179,0.1,0.3,942
12,212,5,15,1,7,0,1,0,0,0,0,1400,13200,5366.66666667,0.445547309833,0.172881880025,0.0801886792453,0.0141509433962,0.5,0,2400
8,1105,33,19,0,8,0,0,0,0,1,0,5100,5100,5100,0.5005335097,0.227922478756,0.062443438914,0.0126696832579,0.4,0.3,2900
9,1497,8,51,1,4,0,1,0,0,0,0,795,1200,997.5,0.43023267383,0.0674516032748,0.0227120908484,0.0180360721443,0.5,0,684
10,0,0,20,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2500
12,248,15,13,1,8,0,1,0,0,0,0,2900,9800,6350,0.272954545455,0.155303030303,0.0201612903226,0.00806451612903,0.0454545454545,0.136363636364,1300
9,1516,17,6,0,9,0,0,0,0,1,0,13000,39000,26000,0.474421588332,0.0907066068852,0.0481530343008,0.023746701847,0.125,0.375,23100
12,521,3,1,15,6,0,0,0,0,0,1,3900,3900,3900,0.497608024691,0.211921296296,0.0479846449136,0.00767754318618,0.4,0.2,4300
9,251,5,0,1,8,0,0,1,0,0,0,18700,18700,18700,0.419524793388,0.128357438017,0.0557768924303,0.0278884462151,0.1875,0.1875,5900
9,345,1,1,0,7,0,1,0,0,0,0,0,0,0,0.554703282828,0.285890151515,0.0521739130435,0.0144927536232,0.5,0,4100
12,369,5,1,1,6,0,0,0,0,0,1,548,2700,1624,0.412722832723,0.112692307692,0.0514905149051,0.0243902439024,0.5,0,666
12,518,29,0,21,10,0,0,0,0,0,0,579,11000,4526.33333333,0.605169753086,0.217283950617,0.034749034749,0.015444015444,0.5,0,14400
10,273,1,1,0,4,0,1,0,0,0,0,965,965,965,0.484672619048,0.179728084416,0.043956043956,0.014652014652,0.25,0.375,1000
10,573,5,3,0,6,0,0,0,0,0,1,1200,3600,2000,0.456084656085,0.186684303351,0.0261780104712,0.0087260034904,0.5,0,1100
9,166,2,0,2,10,0,0,0,0,1,0,0,0,0,0.466083916084,0.29020979021,0.0542168674699,0,0.0454545454545,0.136363636364,3400
9,357,3,0,2,7,0,1,0,0,0,0,876,2200,1538,0.437525252525,0.209646464646,0.0672268907563,0.00280112044818,0.5,0,1100
12,0,0,14,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,1600
12,391,8,1,1,5,0,1,0,0,0,0,581,5500,2115.5,0.326860441146,0.0580808080808,0.0230179028133,0.0179028132992,0.0454545454545,0.136363636364,1700
12,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.272727272727,0.0681818181818,23000
11,751,25,17,1,10,0,0,0,0,0,0,1300,1300,1300,0.562832318341,0.177170922298,0.0479360852197,0.0159786950732,0.5,0,899
11,175,10,9,0,9,0,0,0,0,0,0,897,897,897,0.628937728938,0.0937271062271,0.0342857142857,0.0285714285714,0.142857142857,0.214285714286,1500
10,277,2,1,2,5,0,0,1,0,0,0,2200,2200,2200,0.470708458208,0.180182317682,0.0613718411552,0.0072202166065,0.5,0,1300
11,968,5,0,26,5,0,0,0,0,0,0,838,838,838,0.462602994228,-0.0197895923521,0.0547520661157,0.0578512396694,0.5,0,906
16,203,6,0,0,8,0,0,0,1,0,0,5200,5200,5200,0.48569023569,0.146632996633,0.0344827586207,0.00985221674877,0.025,0.225,4200
15,192,6,1,0,5,0,0,0,0,1,0,5000,7800,6400,0.35193452381,0.150421626984,0.0729166666667,0.015625,0.136363636364,0.167424242424,1300
9,352,39,16,6,8,0,0,0,0,0,0,5500,5500,5500,0.374783549784,0.175649350649,0.0255681818182,0,0.5,0,1100
10,528,5,31,1,5,0,1,0,0,0,0,3200,8500,5850,0.405855087673,0.0860903406358,0.0378787878788,0.0132575757576,0.5,0,984
